"LINE","BLUP_Yield_per_plant","BLUP_Panicle_number","BLUP_Grain_number_per_panicle","BLUP_Seed_setting_rate","BLUP_Grain_weight","BLUP_Heading_date","BLUP_Height","BLUP_Panicle_length","BLUP_Grain_length","BLUP_Grain_width"
"Z56",44.5588163399591,13.6867798332647,158.298338659674,0.804737117296281,27.5523947782657,85.5509307223776,106.842150374188,24.5701362516823,9.4707057039372,2.54430346432033
"Z57",50.4496624268622,16.1492783460921,181.165147071307,0.799163618878058,27.5707343132964,86.4744533326937,108.063044534007,23.2682892021739,9.07930531940048,2.58285708693436
"Z58",46.2433636719159,15.1916400355481,172.28316763116,0.779656374414277,26.0577226732632,86.2435726801146,109.283938693826,24.7281273984673,9.00313315154082,2.58379741919324
"Z59",43.9939208460097,13.5499743603298,155.236116863648,0.826102194566136,23.568130792845,95.709679435854,98.7028559753941,23.4705178700587,8.92312842177627,2.50998133687126
"Z60",44.7724627126707,13.413168887395,160.121333575034,0.818670863341838,27.391923846747,84.6274081120616,101.403621844085,23.0344623049322,9.301593909884,2.51797416107173
"Z61",44.2915773178215,13.5499743603298,154.329740178202,0.796376869668946,29.120425023391,84.6274081120616,103.105474309287,23.5842714957439,9.46016615869876,2.55417695303856
"Z62",45.3149072318606,13.2763634144601,173.604326867572,0.819599779744876,26.1998540697512,85.0891694172196,102.254548076686,22.762717532462,8.96864009439683,2.4972868513764
"Z63",43.7331998488023,13.5499743603298,152.916407041574,0.800092535281095,27.7312052448151,84.8582887646406,100.404708440596,23.1039784095175,9.34854279321889,2.59978306759418
"Z64",45.2439331826208,13.6867798332647,158.295778273557,0.81495519772969,27.9191854788798,84.1656468069036,102.254548076686,22.383538780178,9.37824514798177,2.57627476112221
"Z65",45.0751887594282,13.5499743603298,158.436599509997,0.829817860178285,25.9889494168981,85.0891694172196,103.253461480174,22.7374389489764,8.46992797652323,2.71450360317738
"Z66",45.1780287083267,13.8235853061996,151.085730967863,0.823315445357024,28.4005982734358,84.6274081120616,99.7017693788825,22.7816764700762,9.54112902893953,2.61106705470072
"Z67",44.5812673147186,13.0027524685904,151.769354061123,0.818670863341838,32.3115041187337,85.7818113749566,104.363365261828,23.7043447673005,10.0388830063369,2.64774001279699
"Z68",44.0279594206451,13.8235853061996,149.72104516746,0.82796002737221,24.2466935889811,93.6317535626429,92.0434332854718,21.8084510058806,8.27111382770714,2.64632951440867
"Z69",45.2012039080785,14.0971962520693,162.840463631372,0.811239532117541,24.7051819647487,93.8626342152219,94.1152536778921,21.9538028609228,8.1652393050846,2.84520978716152
"Z70",44.7261123131672,13.2763634144601,164.745390902479,0.806594950102355,28.5885785075006,82.7803628914295,98.554868804507,23.4705178700587,9.34758465274266,2.61670904825399
"Z71",43.6455686247409,13.1395579415253,155.256599952584,0.808452782908429,27.9191854788798,78.1627498398493,97.3339746446879,21.8590081728518,9.51909179798642,2.58614824984043
"Z72",46.0282688492198,14.2340017250041,168.882974867679,0.818670863341838,23.9395063772168,91.7847083420108,90.4155744057131,23.6221893709723,7.63730390268622,2.81370865648908
"Z73",43.5477982507881,13.6867798332647,149.057905163136,0.805666033699318,26.286966861147,93.6317535626429,93.8932729215614,23.5021160994157,8.20404399437159,2.81841031778347
"Z74",44.3509637671854,13.5499743603298,159.122782989374,0.831675692984359,23.6414889329678,95.017037478117,90.3045840275477,23.1861338058457,7.96977864793529,2.65573283699746
"Z75",42.3897624881918,13.2763634144601,174.551669730892,0.771296126786942,21.9221575238392,81.8568402811135,96.5940387902521,22.3961780719208,7.85480179078864,2.45497189972686
"Z76",44.6985917634619,14.0971962520693,169.310559349231,0.805666033699318,22.4585889234873,84.3965274594826,98.9248367317249,23.5337143287727,8.17913234198982,2.4662558868334
"Z77",43.3993321273783,13.2763634144601,153.041865961311,0.820528696147913,24.7235214997794,83.4730048491665,105.473269043482,22.825913991176,8.26009521223058,2.64868034505587
"Z78",43.9359828466303,12.455530576851,159.960029249659,0.815884114132727,31.6283564388399,86.0126920275356,111.02278795175,24.0645645819703,8.37555113961535,3.17526641002794
"Z79",44.5602647899436,13.0027524685904,174.50046200855,0.818670863341838,25.1728401080317,83.9347661543245,102.513525625739,23.2240516810741,8.37411392890102,2.64021735472596
"Z80",44.2778170429689,12.7291415227207,184.667755279471,0.810310615714504,26.5758145378807,85.5509307223776,103.882406956445,23.1924534517171,9.28003574916901,2.49775701750584
"Z81",43.7723079983834,13.1395579415253,187.023310507183,0.79173228765376,23.4443389313877,84.6274081120616,103.99339733461,23.5337143287727,8.61652346938521,2.38679781095815
"Z82",44.093139669947,12.8659469956556,173.768191579065,0.814026281326653,25.2599528994276,86.0126920275356,103.623429407392,24.7344470443386,8.37363485866291,2.58802891435819
"Z83",43.3739842526498,12.7291415227207,173.235631266713,0.811239532117541,24.2329389377081,85.7818113749566,108.174034912172,23.4641982241873,8.22033238246737,2.55276645465024
"Z84",44.4842211657581,13.6867798332647,179.649398489996,0.790803371250723,23.8248842832749,82.7803628914295,103.142471102009,23.5779518498725,9.04768668368515,2.29793641249411
"Z85",43.9309132716846,13.5499743603298,162.819980542436,0.809381699311467,24.7281063835371,86.0126920275356,102.883493552956,23.1292569930031,8.94037495034827,2.39949229645301
"Z86",44.0591010953115,13.413168887395,173.128095049796,0.789874454847686,24.5217866144417,85.5509307223776,105.473269043482,23.5463536205155,8.25674172056381,2.59084991113483
"Z87",42.5628522613379,12.5923360497859,168.857371006508,0.801950368087169,23.9945249823089,85.0891694172196,112.280678904291,23.8244180388571,9.21392405630968,2.3049889044357
"Z88",43.9635033963355,13.1395579415253,171.750607318807,0.798234702475021,25.7734598802873,84.6274081120616,102.291544869408,23.1671748682315,9.40219865988732,2.46014372715069
"Z89",45.8153467015004,13.5499743603298,162.464086872162,0.832604609387396,28.1346750154906,84.8582887646406,100.034740513379,21.8969260480802,9.35141721464755,2.59084991113483
"Z90",44.4204893664407,12.7291415227207,156.772348533895,0.830746776581322,29.771478516981,83.2421241965875,103.36445185834,25.088347213137,9.15691469797446,2.82264181294843
"Z91",45.2432089576285,12.8659469956556,191.153213314032,0.812168448520578,25.0352935953014,86.2435726801146,109.653906621044,25.8530243635764,9.01367269677926,2.50057801428247
"Z92",43.5246230510363,13.1395579415253,179.188528988922,0.793590120459835,23.1738307896848,86.7053339852727,108.802980388443,24.4879808553541,8.55520247890699,2.36752099965114
